timestep,id,left,top,height,width,img_height,img_width,parent
2,1,195.5528371,710.1558915,10,10,1000,1000,0
2,3,197.0509287,683.9944442,10,10,1000,1000,0
2,54,270.0203929,312.8447357,10,10,1000,1000,0
2,55,414.6012018,432.3894045,10,10,1000,1000,0
2,76,430.2488278,210.6207473,10,10,1000,1000,0
2,79,587.5008798,827.9034165,10,10,1000,1000,0
2,98,658.8744621,619.6799182,10,10,1000,1000,0
2,101,686.1197734,724.0401559,10,10,1000,1000,0
2,116,764.0325217,232.5810391,10,10,1000,1000,0
2,2,762.1177394,146.5588213,10,10,1000,1000,0
3,1,195.5849533,709.9033507,10,10,1000,1000,0
3,3,195.6368946,683.1240968,10,10,1000,1000,0
3,54,268.9472483,309.9020752,10,10,1000,1000,0
3,55,417.3455789,429.6308779,10,10,1000,1000,0
3,76,428.4892729,213.3934297,10,10,1000,1000,0
3,79,583.205223,826.5456173,10,10,1000,1000,0
3,98,658.0657128,623.0085496,10,10,1000,1000,0
3,101,689.875466,724.1421958,10,10,1000,1000,0
3,116,762.0276671,234.9640823,10,10,1000,1000,0
3,2,759.1637321,145.7139937,10,10,1000,1000,0
4,1,196.0652407,703.4458892,10,10,1000,1000,0
4,3,192.8016052,685.9874575,10,10,1000,1000,0
4,54,267.9485315,311.1959581,10,10,1000,1000,0
4,55,421.5734698,433.4318604,10,10,1000,1000,0
4,76,425.7327197,213.5357776,10,10,1000,1000,0
4,79,584.634792,822.9501693,10,10,1000,1000,0
4,98,656.6859177,621.4221071,10,10,1000,1000,0
4,101,692.0698195,722.0388644,10,10,1000,1000,0
4,116,763.1091765,232.9353186,10,10,1000,1000,0
4,2,756.7357703,144.1718445,10,10,1000,1000,0
5,1,196.1137813,704.2398116,10,10,1000,1000,0
5,3,191.0420349,681.8755697,10,10,1000,1000,0
5,54,267.6546213,311.0972321,10,10,1000,1000,0
5,55,426.1905333,434.3318589,10,10,1000,1000,0
5,76,425.0832602,216.9803692,10,10,1000,1000,0
5,79,583.9083669,819.1625398,10,10,1000,1000,0
5,98,655.6288476,621.5489952,10,10,1000,1000,0
5,101,696.2258233,721.2538755,10,10,1000,1000,0
5,117,758.5496588,241.836027,10,10,1000,1000,116
5,178,768.2014399,223.8560756,10,10,1000,1000,116
5,2,755.2211435,146.9419083,10,10,1000,1000,0
6,1,196.582818,703.1157048,10,10,1000,1000,0
6,3,192.3207147,682.99893,10,10,1000,1000,0
6,54,263.9151071,309.7110866,10,10,1000,1000,0
6,55,427.4858542,434.5610651,10,10,1000,1000,0
6,76,422.9275999,216.3744314,10,10,1000,1000,0
6,79,585.4425884,815.6739452,10,10,1000,1000,0
6,98,652.9093524,623.780397,10,10,1000,1000,0
6,101,696.273492,719.0099404,10,10,1000,1000,0
6,117,762.1673134,243.9847417,10,10,1000,1000,116
6,179,763.6152732,232.8090779,10,10,1000,1000,178
6,180,773.5332993,215.1469954,10,10,1000,1000,178
6,2,756.0342084,149.3696383,10,10,1000,1000,0
7,1,195.9159497,699.7650455,10,10,1000,1000,0
7,3,191.0452676,680.9391978,10,10,1000,1000,0
7,54,265.3551237,311.4893157,10,10,1000,1000,0
7,55,434.5417233,430.8559097,10,10,1000,1000,0
7,76,423.0633172,219.4887188,10,10,1000,1000,0
7,79,589.9644352,813.0478735,10,10,1000,1000,0
7,98,647.9351155,630.3165159,10,10,1000,1000,0
7,101,700.6697896,718.371092,10,10,1000,1000,0
7,117,761.7072521,241.6151279,10,10,1000,1000,116
7,180,777.6289688,214.4003068,10,10,1000,1000,178
7,2,750.4129859,147.9830202,10,10,1000,1000,0
8,1,196.6457192,697.6093132,10,10,1000,1000,0
8,3,189.4757945,682.005762,10,10,1000,1000,0
8,54,266.1375749,311.4906167,10,10,1000,1000,0
8,55,435.3088248,427.5589568,10,10,1000,1000,0
8,76,425.1119912,220.8333747,10,10,1000,1000,0
8,79,588.2484369,813.3829143,10,10,1000,1000,0
8,98,641.4221287,628.6604128,10,10,1000,1000,0
8,101,705.5631391,719.1491876,10,10,1000,1000,0
8,117,759.8781758,239.7911677,10,10,1000,1000,116
8,180,775.1787746,218.3898921,10,10,1000,1000,178
8,2,748.7411018,147.9584938,10,10,1000,1000,0
9,1,196.9497398,697.7806862,10,10,1000,1000,0
9,3,188.0194922,678.1166156,10,10,1000,1000,0
9,54,264.9556681,308.779149,10,10,1000,1000,0
9,55,435.1543885,428.8411024,10,10,1000,1000,0
9,76,425.1271286,223.8799347,10,10,1000,1000,0
9,79,587.8958117,810.8205194,10,10,1000,1000,0
9,98,638.9986024,630.6708339,10,10,1000,1000,0
9,101,710.2828786,719.0923735,10,10,1000,1000,0
9,117,759.9188807,239.4509342,10,10,1000,1000,116
9,181,775.3175917,229.6386238,10,10,1000,1000,180
9,216,774.5347313,209.5863439,10,10,1000,1000,180
10,1,196.2412507,695.2522563,10,10,1000,1000,0
10,3,184.1630473,679.7646024,10,10,1000,1000,0
10,54,265.7290632,304.6623053,10,10,1000,1000,0
10,56,426.6384507,433.7960694,10,10,1000,1000,55
10,75,444.6754392,424.8996702,10,10,1000,1000,55
10,77,427.9255253,232.709943,10,10,1000,1000,76
10,78,422.4973578,214.2094587,10,10,1000,1000,76
10,79,583.7551414,805.2466414,10,10,1000,1000,0
10,98,636.2904022,628.8453387,10,10,1000,1000,0
10,101,711.1139369,724.6197191,10,10,1000,1000,0
10,117,767.9403049,243.0079694,10,10,1000,1000,116
10,181,774.5121504,228.743517,10,10,1000,1000,180
10,216,778.164544,207.4839074,10,10,1000,1000,180
11,1,196.5415691,692.03444,10,10,1000,1000,0
11,3,180.4250938,683.8684519,10,10,1000,1000,0
11,54,265.7971747,305.7956019,10,10,1000,1000,0
11,56,426.0829322,434.5193729,10,10,1000,1000,55
11,75,441.4434262,428.4926435,10,10,1000,1000,55
11,77,431.6481243,232.1644916,10,10,1000,1000,76
11,78,424.7877625,216.4505026,10,10,1000,1000,76
11,79,581.9705472,806.5256751,10,10,1000,1000,0
11,98,633.5644327,626.9137425,10,10,1000,1000,0
11,101,712.9953373,726.2293626,10,10,1000,1000,0
11,117,764.2576678,243.8129417,10,10,1000,1000,116
11,181,775.2970726,228.8896849,10,10,1000,1000,180
11,216,779.7849493,208.6868733,10,10,1000,1000,180
12,1,195.0069803,689.5518466,10,10,1000,1000,0
12,3,182.8347434,684.9847863,10,10,1000,1000,0
12,54,268.1941245,304.5635606,10,10,1000,1000,0
12,56,428.3499588,435.6114397,10,10,1000,1000,55
12,75,440.1466817,427.6250491,10,10,1000,1000,55
12,77,436.3306346,230.11577,10,10,1000,1000,76
12,78,427.2976467,215.2108365,10,10,1000,1000,76
12,79,581.8759324,805.6071776,10,10,1000,1000,0
12,98,631.5269654,625.9550527,10,10,1000,1000,0
12,101,718.0424316,724.6638932,10,10,1000,1000,0
12,117,768.0330784,243.2182817,10,10,1000,1000,116
12,181,778.1156221,224.7764889,10,10,1000,1000,180
12,216,783.0965669,207.6514992,10,10,1000,1000,180
13,1,190.8403223,689.1522035,10,10,1000,1000,0
13,3,180.8288535,688.4436655,10,10,1000,1000,0
13,54,267.5233564,305.7692584,10,10,1000,1000,0
13,56,432.9631795,435.1826415,10,10,1000,1000,55
13,75,440.6041917,427.0371518,10,10,1000,1000,55
13,77,436.1050044,228.3270077,10,10,1000,1000,76
13,78,426.3511019,215.8501204,10,10,1000,1000,76
13,79,584.1781329,803.5010508,10,10,1000,1000,0
13,98,631.4426601,624.3269565,10,10,1000,1000,0
13,101,722.8137303,724.3803993,10,10,1000,1000,0
13,117,768.57802,244.2199388,10,10,1000,1000,116
13,181,780.9004289,226.0167728,10,10,1000,1000,180
13,216,783.1117999,210.9519342,10,10,1000,1000,180
14,1,194.9891683,689.828849,10,10,1000,1000,0
14,3,179.7379245,688.9298664,10,10,1000,1000,0
14,54,267.1106308,307.7272236,10,10,1000,1000,0
14,56,436.7378591,437.0568257,10,10,1000,1000,55
14,77,436.8858814,229.3964568,10,10,1000,1000,76
14,78,422.7709564,213.1580051,10,10,1000,1000,76
14,79,580.6001858,802.74847,10,10,1000,1000,0
14,98,631.0505136,620.7251107,10,10,1000,1000,0
14,101,721.5734937,725.8895866,10,10,1000,1000,0
14,117,769.1789225,242.8518875,10,10,1000,1000,116
14,181,779.2901761,226.4439919,10,10,1000,1000,180
14,216,787.001326,214.3073203,10,10,1000,1000,180
15,1,193.5714868,690.1458113,10,10,1000,1000,0
15,3,175.8693813,691.6664708,10,10,1000,1000,0
15,54,270.561122,312.9098046,10,10,1000,1000,0
15,56,441.9212193,433.9232576,10,10,1000,1000,55
15,77,439.777288,228.4527023,10,10,1000,1000,76
15,78,418.5587709,214.9196167,10,10,1000,1000,76
15,79,580.5102561,800.9607795,10,10,1000,1000,0
15,98,631.0628631,622.4624271,10,10,1000,1000,0
15,101,723.7021631,725.5620058,10,10,1000,1000,0
15,117,771.8813467,243.1092336,10,10,1000,1000,116
15,181,777.261991,224.999732,10,10,1000,1000,180
15,216,788.2515595,214.9409087,10,10,1000,1000,180
16,1,195.7368905,690.8944112,10,10,1000,1000,0
16,3,173.2633832,692.2411865,10,10,1000,1000,0
16,54,273.4620466,311.054962,10,10,1000,1000,0
16,56,440.4763585,438.5263771,10,10,1000,1000,55
