Time,Cell cardinality,Cell appearance,Cell division,Error (OSPA),Error (OSPA2)
1,0,0,0,25,25
2,10,0,0,8.120489326,16.62893236
3,10,10,0,3.35027152,12.28164168
4,10,0,0,0.783533299,11.41185276
5,11,0,1,1.120757044,8.957754175
6,12,0,1,1.38220123,7.262856994
7,11,0,0,1.029426211,6.70624621
8,11,0,0,1.252302127,6.308191208
9,11,0,1,1.211969407,5.478567113
10,13,0,2,1.139490072,4.580045679
11,13,0,0,1.010510099,4.433594671
12,13,0,0,0.907566405,4.318927092
13,13,0,0,1.005758807,4.242351539
14,12,0,0,2.928179757,4.393004832
15,12,0,0,3.191789479,4.561345039
16,12,0,0,2.761521867,4.599700856
17,12,0,1,4.644328076,4.516123429
18,13,0,0,2.958667178,6.685261507
19,15,1,2,1.190695498,7.567070021
20,17,0,2,1.103780987,6.790487013
21,16,0,0,2.454477693,6.599457087
22,17,0,1,2.628116739,6.115767115
23,16,0,0,4.781263687,5.761294904
24,17,0,1,2.705521689,6.194975957
25,17,0,1,3.920810007,6.339665072
26,17,0,0,2.886531745,7.425113391
27,17,0,0,2.668899461,7.418260504
28,18,0,1,2.470509998,7.497994738
29,20,0,2,2.302587626,7.24221139
30,21,0,1,2.402747988,7.001256301
31,23,0,2,1.070204898,7.614102051
32,22,0,0,2.125639536,7.721417528
33,23,0,1,3.564962679,7.319739974
34,25,0,2,2.92499897,7.147149322
35,27,0,2,2.790338563,6.754362428
36,26,0,0,2.183114774,7.268046185
37,28,0,2,1.960815946,6.567749258
38,30,0,2,1.791167058,5.991368166
39,30,0,0,1.731344055,6.289080554
40,30,0,1,3.01624322,6.259363769
41,31,0,1,2.752044166,6.412926069
42,32,0,2,3.937842631,6.423248327
43,34,0,3,3.529624223,6.049574446
44,35,0,1,3.322759641,5.696916788
45,35,0,0,3.414950123,5.575937475
46,34,0,0,3.040508681,5.55790957
47,34,0,1,3.775957714,5.625902409
48,34,0,0,3.990868214,5.898214824
49,35,0,2,5.117240743,6.168137299
50,34,0,0,4.496913711,6.851587939
51,34,1,0,4.965881008,7.57515978
52,35,0,2,4.962821857,6.567026475
53,37,0,2,3.766706741,6.747770075
54,40,0,2,2.584282955,7.092874812
55,39,1,0,3.166628871,7.451105929
56,42,1,3,3.012095221,7.920751669
57,44,0,2,3.001102754,7.437093212
58,45,0,1,4.003451236,7.805978391
59,45,0,2,4.107737132,8.588750276
60,49,0,4,4.554015876,8.911865494
61,49,0,1,5.092046355,8.948298328
62,50,0,1,5.109216846,9.487241583
63,52,0,2,5.356284112,9.697755069
64,53,0,1,4.360234466,9.514811769
65,55,0,2,4.256833663,9.320741598
66,56,0,1,4.299072461,9.459747653
67,59,1,3,4.548373204,9.651584303
68,62,0,3,4.108784653,9.464892637
69,65,0,3,3.721343146,9.172983641
70,66,0,1,4.385379109,9.391345344
71,67,0,1,3.714375084,9.142378251
72,68,0,1,3.717396983,9.356306181
73,72,0,4,3.303937959,9.160032786
74,72,0,2,3.819676644,8.878723202
75,71,0,0,3.913319577,8.943391828
76,70,0,0,4.737643867,9.29153563
77,75,0,5,4.146780477,8.710572307
78,77,0,2,4.531072653,9.02966591
79,78,0,1,4.724425016,9.129968635
80,81,0,3,4.392734194,9.043377814
81,86,0,4,4.315085853,9.19695291
82,89,1,2,3.932266428,9.177220602
83,89,1,0,3.915379795,9.433913819
84,90,1,1,3.552523956,9.199376726
85,89,0,0,3.582375127,8.929121164
86,89,0,0,4.455195136,9.3764125
87,91,0,3,4.93969214,9.663088367
88,95,0,4,3.909012732,9.367083249
89,98,0,3,4.087629399,9.71418261
90,97,0,0,3.423285674,9.723824563
91,100,0,4,3.550926798,10.44213222
92,106,0,6,3.75442399,10.42270634
93,109,0,3,3.045264545,10.28099152
94,113,1,3,3.200170802,10.5519921
95,115,1,2,3.433066392,10.48519648
96,119,0,4,3.296611353,10.23859026
97,124,0,5,3.929708451,10.07585693
98,126,0,2,3.614186354,9.899032987
99,126,0,0,3.814690525,10.22409716
100,133,0,7,3.259409073,10.24219787
